N   1,6,5204.32,5471.66,5738.99,6006.32,6273.66,6540.99,,,,,,,,,,,,
N   2,6,4511.86,4793.72,5075.58,5357.44,5639.29,5921.15,,,,,,,,,,,,
N   3,6,3747.34,3969.49,4191.63,4413.77,4635.92,4858.06,,,,,,,,,,,,
N   4,6,5080.42,5528.54,5976.67,6424.79,6872.91,7321.04,,,,,,,,,,,,
N   5,6,5711.2,5933.6,6156,6378.4,6600.8,6823.2,,,,,,,,,,,,
N   6,6,4328.74,4562.85,4796.96,5031.07,5265.19,5499.3,,,,,,,,,,,,
N   7,6,5442.63,5756.75,6070.87,6384.98,6699.1,7013.22,,,,,,,,,,,,
N   8,6,8444.15,8599.93,8755.71,8911.48,9067.26,9223.04,,,,,,,,,,,,
N   9,6,5597.38,6062.31,6527.23,6992.16,7457.09,7922.02,,,,,,,,,,,,
N  10,6,10052.93,10554.87,11056.8,11558.73,12060.67,12562.6,,,,,,,,,,,,
N  11,6,5152.58,5363.77,5574.95,5786.14,5997.32,6208.5,,,,,,,,,,,,
N  12,6,5201.54,5487.59,5773.63,6059.68,6345.72,6631.77,,,,,,,,,,,,
N  13,6,6281.04,6593.99,6906.93,7219.88,7532.82,7845.76,,,,,,,,,,,,
N  14,6,3895.63,3920.25,3944.87,3969.5,3994.12,4018.75,,,,,,,,,,,,
N  15,6,5594.56,5898.61,6202.67,6506.72,6810.77,7114.83,,,,,,,,,,,,
N  16,6,6141.31,6406.72,6672.14,6937.56,7202.97,7468.39,,,,,,,,,,,,
N  17,6,6213.82,6454.48,6695.15,6935.81,7176.48,7417.15,,,,,,,,,,,,
N  18,6,9470.34,9895.29,10320.25,10745.2,11170.16,11595.12,,,,,,,,,,,,
N  19,6,5914.52,6215.71,6516.89,6818.08,7119.27,7420.45,,,,,,,,,,,,
N  20,6,10218.16,10534.32,10850.48,11166.64,11482.8,11798.96,,,,,,,,,,,,
N  21,6,9583.28,10122.66,10662.04,11201.42,11740.8,12280.18,,,,,,,,,,,,
N  22,6,5214.25,5426.44,5638.64,5850.84,6063.03,6275.23,,,,,,,,,,,,
N  23,6,3571.99,3785.78,3999.57,4213.36,4427.15,4640.94,,,,,,,,,,,,
N  24,6,6451.62,6853.83,7256.04,7658.25,8060.46,8462.67,,,,,,,,,,,,
N  25,6,5120.44,5377.13,5633.82,5890.52,6147.21,6403.91,,,,,,,,,,,,
N  26,6,8933.45,9337.9,9742.35,10146.8,10551.25,10955.7,,,,,,,,,,,,
N  27,6,3302.07,3398.71,3495.34,3591.97,3688.6,3785.24,,,,,,,,,,,,
N  28,6,11870.02,12273.04,12676.06,13079.08,13482.1,13885.12,,,,,,,,,,,,
N  29,6,4146.99,4470.98,4794.97,5118.96,5442.96,5766.95,,,,,,,,,,,,
N  30,6,5786.27,6072.01,6357.75,6643.5,6929.24,7214.98,,,,,,,,,,,,
N  31,6,7306.88,7815.38,8323.87,8832.36,9340.85,9849.34,,,,,,,,,,,,
N  32,6,5602.72,5844.83,6086.95,6329.07,6571.18,6813.3,,,,,,,,,,,,
N  33,6,4107.18,4238.19,4369.19,4500.2,4631.2,4762.21,,,,,,,,,,,,
N  34,6,8218.49,8610.85,9003.21,9395.57,9787.93,10180.29,,,,,,,,,,,,
