N   1,6,5406.43,5875.96,6345.48,6815,7284.53,7754.05,,,,,,,,,,,,
N   2,6,4142.6,4055.47,3968.34,3881.21,3794.09,3706.96,,,,,,,,,,,,
N   3,6,3535.47,3546.07,3556.67,3567.28,3577.88,3588.49,,,,,,,,,,,,
N   4,6,4971.59,5311.33,5651.06,5990.79,6330.52,6670.25,,,,,,,,,,,,
N   5,6,5346.03,5272.95,5199.87,5126.79,5053.7,4980.62,,,,,,,,,,,,
N   6,6,4259.94,4439.21,4618.47,4797.74,4977.01,5156.28,,,,,,,,,,,,
N   7,6,5511.14,5708.41,5905.68,6102.95,6300.22,6497.49,,,,,,,,,,,,
N   8,6,9809.84,12517.89,15225.93,17933.97,20642.02,23350.06,,,,,,,,,,,,
N   9,6,5362.48,5593.46,5824.45,6055.43,6286.42,6517.4,,,,,,,,,,,,
N  10,6,10180.92,10810.57,11440.22,12069.87,12699.52,13329.17,,,,,,,,,,,,
N  11,6,5786.45,6780.94,7775.43,8769.91,9764.4,10758.88,,,,,,,,,,,,
N  12,6,5204.44,5535.44,5866.43,6197.43,6528.43,6859.42,,,,,,,,,,,,
N  13,6,6334.81,6701.64,7068.47,7435.3,7802.13,8168.96,,,,,,,,,,,,
N  14,6,6029.91,8190.11,10350.3,12510.5,14670.7,16830.89,,,,,,,,,,,,
N  15,6,5776.56,6262.77,6748.97,7235.17,7721.38,8207.58,,,,,,,,,,,,
N  16,6,6140.45,6343.73,6547,6750.28,6953.56,7156.84,,,,,,,,,,,,
N  17,6,5926.47,5879.68,5832.89,5786.1,5739.31,5692.52,,,,,,,,,,,,
N  18,6,8171.76,8476.45,8781.13,9085.82,9390.5,9695.19,,,,,,,,,,,,
N  19,6,5955.01,6296.44,6637.86,6979.28,7320.7,7662.12,,,,,,,,,,,,
N  20,6,10507.21,11112.15,11717.09,12322.03,12926.97,13531.91,,,,,,,,,,,,
N  21,6,9606.53,10169.09,10731.65,11294.21,11856.77,12419.33,,,,,,,,,,,,
N  22,6,6508.38,8015.25,9522.13,11029,12535.88,14042.75,,,,,,,,,,,,
N  23,6,3549.36,3740.27,3931.17,4122.08,4312.98,4503.89,,,,,,,,,,,,
N  24,6,6361.85,6710.81,7059.77,7408.73,7757.69,8106.65,,,,,,,,,,,,
N  25,6,5412.86,5962.18,6511.5,7060.82,7610.14,8159.45,,,,,,,,,,,,
N  26,6,10260.23,11992.04,13723.85,15455.67,17187.48,18919.29,,,,,,,,,,,,
N  27,6,3153.75,3353.37,3552.99,3752.61,3952.23,4151.85,,,,,,,,,,,,
